word,chinese,alias
contact lenses,隐形眼镜
cooperating research elements,缓解压力
coping with stress,合作研究原理
corporate loan,筹资
cost effective,性价比较高
cost of living,生活开销
costume party,化装晚会
cough mixture,止咳药
country music,乡村音乐
course fee,学费
course and materials,课程和材料
course director,课程主管
cover the cost,足以支付成本
craft goods,手工艺制品
credit card,信用卡
creeks,小溪
crime awareness,犯罪意识
crime rate,犯罪率
cross passage,通道
cultural differences,文化差异
culture shock,文化冲击
curve chart,曲线图
currency form,货币申报单
current account,现金账户
cycling route,骑车路线
customs service,海关服务
cut and polished,经过切割和抛光的
damages,损害
dark clothes,深色衣服
dark trousers,深色裤子
dateline,日界线
data analysis,数据分析
data assessment,数据评估
date of birth,出生日期
date of expiry,期限
date slip,期限
day pupil,只是白天来上学的学生
day school,不住宿学校
day shift,白班
debts,债
decades,十年
decayed teeth,蛀牙
decoration balloons,装饰气球
deliver a speech,作演讲
delivery desk,借书台
department building,系里的建筑物
department store,商场
departmental address,系的地址
desire to learn,学习的欲望
desk lamp,台灯
details,细节
detective film,侦探片
digital camera,数码相机
digital system,数码系统
different levels,不同水平
dining hall,学校的餐厅
dining room,餐厅
diseases,疾病
distant deadline,离最后期限还有段时间
distance learning,远程教育
divorce rate,离婚率
distinguishing feature,显著特色
distribution of population,人口分布
downward trend,下降趋势
do training courses,上培训课
Doctor's degree,博士学位
domestic factors,内部因素
domestic student,当地学生
domestic violence,家庭暴力
door key,门钥匙
door-to-door service,上门服务
drugs,药品
double lock,反锁
double room,配有一张双人床的房间
double grill,双层烤架，双格栅
Drama Theater,戏剧影院（地名）
Drama Festival,戏剧节
drama teacher,话剧老师
draw a conclusion,得出结论
disabled access,残疾人通道
dropout rate,辍学率
dress code,着装要求
dress rehearsal,彩排
disputes,争论
drinking machine,饮水机
drinks and snacks,饮料和零食
drink less coffee,少喝咖啡
driver's license,驾照
driving license,驾照
directors,董事
drop-off site,丢垃圾的地点
drop-off,放下
El Nino,厄尔尼诺现象
Eagle Road,鹰路（地名）
eastern beach,东海滩
eat harmful insects,吃有害昆虫
economic growth,经济增长
economic history,经济学史
economy class,经济舱
education exhibition,教育展
education officer,教育官员
education standard,教育标准
education system,教育制度
electronic director,电子监控器
electric fan,电风扇
electricity bill,电费
electricity fee,电费
electronic dictionary,电子词典
email attachment,电子邮件附件
email account,电邮账号
email address,电子邮箱
emergency contact person,紧急联系人
emergency telephone number,紧急电话号码
dial,n.表盘v.拨
