word,chinese,alias
living cost,生活开销
living expenses,生活费
loans,贷款
local walking club,当地徒步俱乐部
local history,当地历史
local industry,当地工业
local pet shop,当地宠物店
local product,当地产品
local resident,当地居民
local school,当地学校
local shop,当地商店
local student,当地学生
local tribes,当地部落
lookout points,观看景点
lock all windows,锁上所有窗户
long-term loan,长期贷款
loss of soil,土壤流失
lose temper,生气
loudspeaker,扬声器
love story,爱情片
low nutrition,低营养
low-frequency noise,低频噪声
low income,低收入
magazines and journals,杂志和期刊
magical animals,神奇的动物
machines and robots,机器和机器人
martial art,武术
maid servant,女佣人
mails,邮件
mailing list,邮寄清单
major in nursing,护理专业
main course,主菜
main entrance,主入口，主入口处
main hall,主厅
main kitchen,主厨房
main library,主要图书馆
make an appointment,预约
make plans,制订计划
map of cave,山洞的地图
manage time better,合理管理时间
manmade dam,人造大坝
manual facilities,手工设施
market research,市场调查
market cycle,市场周期
market economy,市场经济
marketing management,销售调研
marketing research,销售技巧
marketing techniques,销售管理
marketing seminar,市场营销研讨会
marketing strategies,营销策略，市场战略
mass media,大众传媒
mind map,提纲
Master's degree,硕士学位
Master Card,万事达信用卡
meat and cheese,肉类和乳酪
mathematic formula,数学公式
mature students,成年学生
media studies,媒体研究
media centre,媒体中心
media room,媒体房间
medical science,医学
medical centre,医疗中心
medical history,病史
booklist,书单,book list
membership consultant,俱乐部会员资格
membership of a club,会籍顾问,MC
mental ability,精神能力
mental education,思想教育
microwave oven,微波炉
mid-autumn festival,中秋节（必须加连字符)
midmorning snacks,加餐（上午10点左右，喝咖啡，吃零食)
mid-range,中间范围
mid-semester,学期中
migration patterns,迁徙方式；迁徙路线
mileage ticket,(可乘坐一定英里数的)火车票
miles,英里
military museum,军事博物馆
mill the grain on the ground,在地上把谷物磨细
millions of,上百万的
mountains,山
mineral water,矿泉水
minimum qualification,最低资格
mining industry,矿业，采矿业
mobile phone,手机
Modern Languages,现代语言（建筑物的名称)
modern management hotel,现代体育设施
modern sports facilities,现代化管理的酒店
money diary,花销日记
money lender,钱商
money management,理财
money order,汇票
monopoly of education,教育垄断
mosquito net,蚊帐
mother-in-law,岳母或者婆婆
movie poster,电影海报
movement of muscle,肌肉运动
music equipment,音乐设备
music instrument,乐器
notice board,布告栏（英国人用）
name badge,写有名字的胸牌
native animals,本土动物
negative effect,消极影响
natural medicine,天然药品
natural museum,自然博物馆
natural fibre,自然纤维
new technologies,新科技
nights,夜
night shift,晚班
no allergy,不过敏
no charge,免费
no nuts,不吃坚果
non-medicine items,非药品类东西
non-stop flight,直达航班
not check identities,不检查身份
not for circulation,不外借
number of exposure,拍照的数量
number of occupants,居住者人数
nursing care,护理，医疗护理
Nursing Diploma,护理毕业证，护理文凭
occupational factors,职业因素
nursery,托儿所
nursery schoo!,托儿所
obligatory course,必修课
self-sufficient,自给自足
off campus,校外
office assistant,办公室助手
overfill,填满
oil explosion,石油爆炸
olive oil,橄榄油
OHPEN,用来在白板上写字的笔
m,m
m,m
