word,chinese,alias
sky dome,穹顶
sleeping pills,安眠药片
sleeping sickness,嗜睡症
slide presentation,幻灯演讲
small scale,小规模
small scar on his chin,他下巴上的小伤疤
smoke alarms,烟雾警报
social activities,社会活动
social isolation,人之间的隔阂，没有交流
social issues,社会问题
social matter effects,社会问题影响
social matters,社会问题
social problems,社会问题
social status,社会地位
social workers,社工
soft drinks,软饮料
soft toys,软软的玩具
sound effect,音效
solar system,太阳系
solar power,太阳能
sore throat,嗓子痛
spare time,业余时间
spare parts,零件
spare socks,备用袜子
space shuttle,太空飞船
special audio equipment,特别的化学物质
special chemicals,特别听力设备
special mail,速递
special offers,特别优惠
special party hats,晚会戴的帽子
special rule,特别规则
specialist engine design,专业发动机设计
specialized course,专业课
specialized museum,专业博物馆
specialized sports facilities,专业体育设施
species in rare animal area,稀有动物的种类
species of crocodiles,鳄鱼的种类
spending plans,花销计划
spiders,蜘蛛
spiral notebook,活页本
sports articles,体育用品，运动品
sports suit,运动服
sports centre,体育中心，运动中心
sports hall,体育大厅，运动场馆
sports shoes,运动鞋
spinose plants,有刺的植物
stack system,书库体系
stacks,书库
standard of education,教育标准
standard suite,标准间
stars,星
starter project,初始项目
starting point,起始点
states,州；状态
steak set,一套牛排刀叉
steam engine ship,蒸汽船
steel and wood,钢材和木头
stiff neck,脖子发僵
still water,纯净水
stock market,股票市场
stomach and heart,胃和心脏
stomach muscles training,腹肌练习
stones,石头
storage space,存储空间
storehouse and temples,仓库和寺庙
stories,故事
story conference,故事会
stress levels,压力程度
stress management,对压力的管理
stressful,有压力的
stretching,伸展的
stretching movements,拉伸移动
strict control,严格控制
strong scent,很重的味道
strong wind,大风
student account,学生账户
student banking,学生银行业务
student debt,学生债务
student hostel,学生旅店
student information desk,学生信息处
student representative,学生代表
student service,学生服务
student support service,对学生的帮助；学生服务
student union,学生会
studio apartment,筒子楼
study aids,教具
study circle,研究小组
study club,学习小组
study techniques,学习技巧
styles,风格
stuffed nose,鼻子不通
stuffed toys,毛绒玩具
stuff of purse,钱包的材料
subject access guide,主题索引
subject access,主题索引
submit the document,上交文件
sufficient details,足够多的细节
supportive atmosphere,支持氛围
support service,售后服务，辅助服务
sun's position,太阳的位置
suntan block,防晒
sun cream,防晒霜
summary report,摘要报告
survey conducted,已做的调查
survey of reading,阅读习惯调查
survival course,生存课程
swimming costume,游泳衣
swimming in waterfall,在瀑布里游泳
swimming pool,游泳池
swimming suit,游泳衣
TA,助教（teaching assistant)
tablets,药片
take notes,记笔记
take blood pressure,量血压
take one's temperature,量体温
take regular exercise,定期运动
take risks,冒风险
taxi stand,出租车站
technical vocabulary,术语
technical institution,技校
teaching club,教师俱乐部
teaching hours,学时
teaching method,教学法
teaching staff,教学人员
teaching syllabus,教学大纲
teachers and faculty,老师和院系情况
tape recorder,录音机
telephone survey,电话调查
television drama,电视戏剧
temple wall,寺庙的墙
temples,寺庙
tennis club,网球俱乐部
terraced house,(英)联排房屋
terrestrial heat,地热
tertiary education,高等教育
text structure,文章结构
textbook allowance,教材补贴
the marketing department,市场部
the disabled,残疾人
the old,老人
the poor,穷人
the Milky Way,银河
v,v
v,v
