word,chinese,alias
bananas,香蕉
town,城镇
qualifications,资格
photography,摄影
venue,会场
website,网站
metallurgy,冶金
rubbish,垃圾
stress,压力
organization,组织,organisation
performance,表现
diploma,文凭，毕业证
operation,操作
approach,方法
manipulation,操纵
licence,牌照,license
woodland,林地
software,软件
butterfly,蝴蝶
contract,合同
definition,定义
professionals,专业人士
security,安全
validity,有效性
accident,事故
insurance,保险
hostel,青年旅社
accommodation,住宿
photograph,照片
tutorial,教程
statistics,统计
citizens,公民
drawbacks,缺点
diving,潜水
proposal,建议，论文开题报告
fair,公平
biology,生物学
reputation,声誉
dismissal,解雇
gear,齿轮
pasture,牧场
comparison,比较
microscope,显微
species,物种
contact,接触
peers,同龄人
vision,视觉
community,社区
observer,观察者
testimony,证词
consequence,后果
fabric,织物
chandelier,吊灯
initials,缩写
tent,帐篷
bladders,膀胱
antenna,天线
request,请求
innovation,创新
toads,蟾蜍
flesh,肉
habitat,栖息地
farmland,农田
fuel,燃料
maximum,最大
indication,指示
variables,变量
jungle,丛林
insect,昆虫
permission,许可
interruption,中断
realism,现实主义
friendship,友谊
textile,纺织
orientation,方向
cellulose,纤维素
inventor,发明家
technician,技术员
administration,管理
waterfall,瀑布
surface,表面
layout,布局
refreshments,点心，小吃
term,术语，学期
womb,子宫
pond,池塘
dweller,居民
leaflet,传单
predator,捕食者
calculation,计算
sperm,精子
dishwasher,洗碗机
observation,观察
prospect,展望
grammar,语法
poverty,贫困
frustration,挫折
concentration,浓度
joke,笑话
umbrella,伞
landscape,景观
concrete,混凝土
fountain,喷泉
documentation,文档
journalism,新闻
juniors,大三
spa,水疗
ingredients,成分
massage,按摩
ratio,比率
bark,树皮
concern,关心
passion,激情
parachute,降落伞
oxygen,氧气
meetings,会议
bookshop,书店
behavior,行为,behaviour
nutshell,果壳
Eskimo,基摩人
athlete,运动员
bulb,灯泡
waitress,女服务员
reservoir,水库
partner,合作伙伴
ash,灰
exterior,外部
engineering,工程
tutorial,教程
theme,主题
teenagers,青少年
hairdresser,理发师
core,核心
ancestor,祖先
cord,线
temperature,温度
entertainment,娱乐
geographers,地理
valve,阀
discussion,讨论
admission,入场，承认
chimpanzees,黑猩猩
dominance,优势
binoculars,双筒望远镜
steel,钢
vibration,振动
mud,泥浆
proof,证明
participation,参与
proofreading,校对
librarian,馆员
protection,保护
fertilizer,肥料,fertiliser
cattle,牛
production,生产
function,功能
labor,劳动,labour
gym,健身房
