word,chinese,alias
free for heating,免费供暖
free of charge,免费
free transportation,免费运送
fruit juice,果汁
fruit trees,果树
functions and places,位置及其功能
full-time,全日制
full name,全名
fur trade,皮毛交易
further education,继续教育
Garden Hall,花园大厅（地名）
garden tools,园艺工具
generation of electricity,发电
gas station,加油站
general election,大选，普选
general English,普通英语
general English practice,普通英语练习
general health,总体健康
general ideas,综合观点
general method,常规方法
general science,大众科学
geography trip,地理考察
geographic location,地理位置
geographical value,地理的价值
give sb. a sack,解雇,kick sb. out of work
given name,名
give a prescription,开药方
give up,放弃
give a speech,作演讲
give confirmation,发出确认信
get feedback,获得反馈
guidebook,指导手册
guided tour,有导游带领的旅行
go to hospital,去医院看病
global listening,整体听力
global warming,全球变暖
gold medal,金牌
Gold Street,金色大街（地名）
Golf Club,高尔夫俱乐部
good eyesight,视力好
good shoes,运动鞋
good steering,方便操纵
goodbye party,告别会
government policy,政府政策
government-funded,政府资助的
grasp keywords,抓住关键词
graduate schoo!,研究生院（美语用法）
graduation announcements,毕业典礼请柬
grain pattern of timber,木材的花纹；细腻的木纹图案
grain pattern,图案
great favourites,最喜爱的
ground floor,底层，一楼（英式）
green waste,可回收垃圾，可降解废物
greyhound bus,灰狗巴士（城市公交的一种)
group discussion,小组讨论
gym membership,健身房会员
hens,母鸡
high wind,大风
half human,半人
half term,学期中
hard-hoofed animals,硬蹄动物
hall of residence,英国学生宿舍
halls of residence,英国学生宿舍
hand pump,手提式灭火器
hands broken,指针坏了
have access to,拥有……的权利，接近
harmful insects,有害昆虫
harmful to humans,对人类有害
have strong hearts and lungs,心肺功能良好
have an operation,动手术
have high rank in geography,地理级别高
have strong financial muscles,经济实力雄厚
help desk,咨询处
headmaster,(英)高中以下学校校长
head office,总部
healthcare,健康护理
health check,体检
health club,健身会所
heart attack,心脏病
heartbeats,心跳
heart disease,心脏病
heat indicator,热度指示
horse hair,马毛
horse riding,骑马
herb tea,草药茶
herd of cattle,牲畜
host family,接待家庭
high rank,高级
highly-trained staff,高度受训的员工
higher education,高等教育
high-rise buildings,高层建筑
high-quality camera,高质量相机
honeymoon suite,蜜月套房
historical museum,历史博物馆
history of school,学校历史
historical maps,历史地图
horror film,恐怖片
hot dog,热狗
hot meal,热饭
hothouse effect,温室效应
