word,chinese,alias
theme garden,主题公园
theme of project,项目主题
theme park,主题公园
theoretical background,理论背景
theoretical framework,理论架构
tiger shark,虎鲨
theory chapters,理论章节
theory of application,应用理论
therapy method,治疗方法
tilled land,耕地
third floor,三楼
third-year student,大三学生（英）
thinking pattern,思维模式
way of thinking,思考方式
timetable,时间表
time measurement,对时间进行测量
time priority,时间先后顺序
time management,时间管理课
title of essay,论文标题
to some degree,从某种程度上说
to some extent,在某种程度上
toilet facilities,卫生间设施
too much work,工作负荷大
tomatoes,西红柿
tones,语调
top shelf,最高的架子
top ten,十大畅销品
touching rocks,接触岩石
tour guide,导游
tourism organization,旅游组织
tourist brochures,游客手册
Town Hall,市政厅
toy factory,玩具工厂
traffic flow,车流，车流量
traffic jam,交通堵塞
traffic lights,交通灯
traffic rules,交通规则
traffic safety,交通安全
transportation card,公交卡
travel agency,旅行社
travel package,旅行打包行程
traveller's check,旅行支票
treatment method,治疗方法
Trinity College,三一学院
tropical diseases,热带病
tuition fee,学费
tutorial system,小组讨论系统
twin room,两张单人床的房间
TV series,电视连续剧
TV chat show,电视访谈
under pressure,有压力
undergo processing,进行处理
underground car park,地下停车场
underground railway,地铁
unhealthy diet,不健康饮食
Union Bank,联合银行（某银行名称）
units of measurement,测量单位
University Drive,大学路（街道名）
university facilities,大学设施
university guide,大学指南
University of Wollongong,大学资源
university resource,非正常生活的作息时间(指别人不工作时工人还在工作，影响健康)
unsocial hours,卧龙岗大学
upward trend,上升趋势
urban area,城市地区
vacuum cleaner,吸尘器
vacuum the stairs,用吸尘器来清洁楼梯
"vary according to the type, shape",改变饮食
vary one's diet,因为类别、形状而有差异
vegetable burger,蔬菜堡
video project,录像作业
video recording,录像
video signal,录像信号
videotape editor,录像编辑
visual aids,视觉辅助
VIP class,头等舱
virtual learning,电脑学习
VISA,维萨信用卡
violent crimes,暴力犯罪
volcanic dust,火山灰
warm bath,热水澡
volume chart,体积图
voting system,选举系统
waiting list,后补清单
walking boots,登山靴
walking club,徒步俱乐部
weight training,力量训练
washable shoes,可洗的鞋
washing machine,洗衣机
wedding photos,婚礼照片
waste handling,垃圾处理
waste disposal,废物处理，垃圾处理
X-ray,X射线
weaving blanket,编织毯子
water fee,水费
water heater,热水器
water park,水公园
water resources,水资源
water skiing,滑水
weekly return,一周往返
welcome package,入学或旅游时收到的欢迎辞
welcome party,欢迎会
welfare department,福利部门
Western Europe,西欧
wheelchair,轮椅
white meat,白肉
wholesale,批发
wide reading,广泛阅读
wide writing,大量写作
widen one's horizon,拓宽视野
widen one's view,拓宽视野
wind power,风能
wind tunnels,风洞
window dressing,商店橱窗装饰
wing design,机翼设计
withdraw cash,取现金
woman author,女作家
wood should be cut and seasoned,工作目标
work objective,工作地点
work place,树木要砍下来风干
work systematically,系统地工作
World Expo,世界博览会
wretched boat,废弃的船
wild animals,野生动物
youth hostel,青年旅店
your own embassy,本国大使馆
yellow fever,黄热病
f,f
f,f
