word,chinese,alias
hotel crime,酒店犯罪
hunt for,寻找
house insurance,房屋财产险
house key,门钥匙
housing agency,房屋中介
human beings,人类
human consumption,人类消费
human race,人类
human resources,人力资源
ice curling,冰壶运动
ice pack,冰袋
ice skating,滑冰
identities,身份
identity card,身份证
illegal profits,非法利润
in visible view,在视野范围内
immune system,免疫系统
in advance,预先
in chemistry lab,在化学实验室
in circles,在剧场中圆形的位置
in circulation,在流通的
Indian Ocean,印度洋
incoming calls,打入的电话；接电话
Independence Day,(美国)独立纪念日
industrial material,工业材料
information board,布告栏
information video,介绍内容的录像
information desk,咨询台
information page,信息页
information sector,信息部门
inland region,内陆地区
initial migration,最初的迁徙，移民
injection of vaccine,疫苗注射
institutes,机构
institutions,机构
insects haunting,闹昆虫
instructors,教练
instruction of handbook,手册中的要求
instant coffee,速溶咖啡
interpersonal skills,人际交往能力
insurance companies,保险公司
insurance company,保险公司
intensive course,强化课
intensive study,集中学习
interlibrary service,图书馆际服务
intermediate course,中级课程
internal clock,生物钟
international club,国际俱乐部
international evening,国际学生晚会
international student card,国际学生证
international student,国际学生
Internet access,互联网接口
Internet cafe,网吧
Internet system,互联网系统
investigators,调查者
irrigable land,水浇地
isolated spot,离市区远的地方
job interview,求职面试
jaws,下巴
joint membership,联合会员资格
keepers,看守的人
jump the queue,插队
jump the line,插队
killer whales,杀人鲸
Kungfu film,武侠片
kelp forest,成片海藻
key approach,主要方法
key to reception,接待处钥匙
keywords,关键词
kick sb. out of work,解雇
king-sized bed,1.8m×2.0m的床
King's suite,国王套房
knives,小刀
kitchen table,餐桌
kitchen utensils,厨房器皿
lamps,灯
listening tapescript,听力原文
lab equipment,实验器材
lack confidence,缺乏自信
lack of confidence,缺乏自信
landmark,地标
large slide,大型滑梯
large-scale housing,大规模住房
lecture hall,阶梯教室
laser printing,激光打印
last but not least,最后的但是也很重要的(表示总结)
last name,姓
lawyers,律师
layout of resume,简历布局
learning strategies,学习策略
learning styles,学习方式
leisure wear,休闲服
leisure activities,休闲活动
level of maturity,成熟水平
lemon tree,柠檬树
letter of recommendation,推荐信
library card,借书卡
library resource,图书馆资源
life science,生命科学
life cycle,生命周期
life expectancy,预期寿命
life insurance,寿险
lights,灯
link to,关于
literary film,文艺片
list of headings,标题列表
list of objectives,(写论文中)列出本文目的
lecture theatre,阶梯教室,lecture theater
