word,chinese,alias
a (great) variety of,很多种
a balanced diet,均衡饮食
a couple of,几个
a pair of glasses,一副眼镜
a period of time,一段时间
A plus,A+
a series of,一系列的
a serious person,一个严肃的人
a sharp turn,急转弯
abilities,能力（复数）
academic English,学术英语
academic problems,学术问题；学习问题
academic system,学术体系
academic teaching staff,教学人员
accommodation expense,住宿费
accommodation fee,住宿费
accommodation form,住宿单
accountants,会计
action plan,行动计划
added panic,增加恐惧心理
admission card,借书卡
admission office,招生办公室
adult students,成年学生
advanced course,高级课程
advanced degree,高阶
Advanced English Studies,高级英语研究
agrarian reform,土地改革
ahead of time,预先
aim of lecture,授课目标
aims,目标
air pollution,空气污染
air pump,空气泵
air shuttle bus,机场巴士
air conditioner,空调
alarm system,警报系统
alternative energies,可替代能源
ATM,自动取款机
amusement park,游乐场
an educational film,有教育意义的影片
analyse data,分析数据
ancient temple,古庙
annual membership fee,年会费
answer questions,回答问题
ant intelligence,蚂蚁的智商
antibiotics and acid,抗生素和酸
appearances,外貌
apple juice,苹果汁
application form,申请表
applied mathematics,应用数学
applied science,应用科学
architecture style,建筑风格
Arctic Ocean,北冰洋
Atlantic Ocean,大西洋
avoid touching rocks,不要接触岩石
arm badge,胳膊上戴的臂章
arrive at one's destination,到达目的地
art gallery,画廊，艺术馆
art museum,艺术博物馆
articles from journal,期刊文章
artistic approach,艺术的方法
Asian studies,亚洲研究
assessment methods,评估方法
assessment of patients,对病人的评估
assistant professor,助教；副教授
associate with,与……关联
assume the responsibility,承担责任
at least,至少
area for improvement,不足之处
awards,奖励
atmospheric pollution,大气污染
atmospheric warming,全球气候变暖
Australian dollars,澳元
average ability,平均能力
bricks,砖
bowls,碗
Bachelor's degree,学士学位
bad eyesight,视力不好
bad management,管理不善
Baked Earth,烤热的地球
bank statement,银行对账单
bank transfer,银行转账
banking center,银行中心
bar chart,柱状图
bar code,条形码
barbecue set,烧烤架
barren land,荒地
barren mine,废弃矿
basic course,基础课
basic rule,基本规则
be allergic to sth.,对……过敏
be out of temper,生气
bed sheet,床单
bed linen,床单
be prone to,易于
beginning course,入门课程
belts,带子，腰带
biological clock,生物钟
black raincoat,黑雨衣
black skirt,黑色短裙
black tea,红茶
black trousers,黑色裤子
black velvet,黑天鹅绒
blocks,街区
blood flow,血流
blood sample,血液样本
bloom of flowers,百花盛开
blue sweater,蓝色毛衣
boarding school,住宿学校（常指小学和中学)
boat trip,划船之旅
book in advance,预订
book reservation,预订书
bones,骨头
bowling alley,保龄球道
botanical garden,植物园
