word,chinese,alias
bulletin board,布告栏
breathtaking,令人屏住呼吸的
breed fish,养鱼
British Council,英国使馆文化处
British Library,大英图书馆
British Museum,大英博物馆
broaden one's horizon,拓宽视野
broaden one's view,拓宽视野
brother-in-law,姐夫，妹夫
buses,公共汽车
bus pass,月票
bus routes,乘车路线
business card,名片
business class,商务舱
business culture,企业文化
business ethics,商业道德
business faculty,商务系
business studies,商业研究
business trip,出差
cages,笼子
cabin keys,小屋钥匙
cable car,缆车
circulation desk,借书台
call slip,借书证
campus crime,校园犯罪
candles,蜡烛
cannot meet the deadline,不能在最后期限内完成
car model,汽车模型
car rental,租车
car tires,汽车轮胎,car tyres
card index,卡片索引
card catalog,注解卡片,card catalogue
comment card,卡片目录
carbon dioxide,二氧化碳
carve,雕刻东西
carving wood,木头雕刻
case study,个案分析
case studies,个案分析
choices for facilities,设施选择
cassette recorders,卡带式录音机
CD player,CD播放器
CD-ROM,光驱
casual clothes,休闲服
casual wear,休闲服
charges,收费
cater to,迎合
catering facilities,餐饮设施
catering staff,餐饮部员工
center hall,中央大厅
center manager,中心经理
central heating,中央取暖
Central Avenue,中央大街（地名）
Central Park,中央公园（地名）
Central Station,中央火车站（地名）
certificate of childcare,儿童护理证书
charitable organization,慈善机构
charity hospital,慈善医院
check in,办理登机、入住手续
check out,结账
checklist,核对清单
chest infection,胸部发炎
chemistry lab,化学实验室
Church Road,教堂路（地名）
chequebook,支票本
cheque card,支票卡
concentrate on,注意
circus performance,马戏团的表演
Children's Day,儿童节
cheese production,奶酪生产
city's expansion,城市扩张
city council,城市委员会
city overhead view,城市俯视图
commuters,通勤者
class representative,班级代表
conquerors,征服者
cleaning equipment,清洁设备
cleaning materials,清洁材料
clear argument,清晰论证
classmates,同学
coarse texture,质地粗糙
comfortable clothes,舒服的衣服
colleagues,同事
clock watch,报时表
closed shelves,闭架书库
close-book exam,闭卷考试
closed reserve,闭架书库
closed-circuit TV,闭路电视
coffee shop,咖啡店
coffee break,喝咖啡的休息时间
coffee machine,咖啡机
collection tank,储存罐
collections,收藏
college close-up,大学特写
common residence,普通住宅
common room,(英)师生公用的休息室
common sense,常识
communication skills,交流技巧
communication strategies,交际策略
communication technology,通信技术
conference reports,会议报告
contact list,联系人清单
company actions,公司行动
compulsory course,必修课
computer model,电脑模型
computer programmer,电脑程序员
computer sound card,电脑声卡
computer system,计算机系统
connecting flight,转机
concert hall,音乐厅
concert room,音乐厅
classical music,古典音乐
