word,chinese,alias
digestive,消化的
comprehensive,综合的
labour-consuming,费力的
pregnant,怀孕的
damp,潮湿的
obvious,显的
punctual,守时的
vocal,声乐的
complex,复杂的
stable,稳定的
natural,自然的
beneficial,有益的
insufficient,不足的
vertical,垂直的
portable,便携的
thriving,兴旺的
objective,客观的
enthusiastic,热情的
sensitive,敏感的
influential,影响的
aggressive,侵略性的
exotic,异国情调的
compulsory,义务的
innovative,创新的
household,家用的
grateful,感激的
contributory,促进的
packaging,包装的
stylish,时尚的
athletic,运动的
invalid,无效的
imaginable,可以想象的
administrative,行政的
steady,稳定的
prolific,多产的
standard,标准的
automatic,自动的
cautious,谨慎的
agricultural,农业的
extinct,灭绝的
ideal,理想的
occasional,偶尔的
durable,耐用的
permanent,永久
surprising,令人惊讶的
valuable,有价值的
confusing,迷惑的
subjective,主观的
partly,部分地
underground,地下的
medium,中等的，半生熟的
accountable,负责的
commercial,商业的
reflective,反射的
Latin,拉丁语的
implement,工具手段
permanently,永久地
electronically,电子地
