word,chinese,alias
bananas,香蕉
insurance,保险
town,城镇
hostel,青年旅社
qualifications,资格
accommodation,住宿
photography,摄影
photograph,照片
venue,会场
tutorial,教程
website,网站
statistics,统计
metallurgy,冶金
citizens,公民
rubbish,垃圾
drawbacks,缺点
stress,压力
diving,潜水
organization,组织,organisation
proposal,建议，论文开题报告
performance,表现
fair,公平
diploma,文凭，毕业证
biology,物学
operation,操作
reputation,声誉
approach,方法
dismissal,解雇
manipulation,操纵
gear,齿轮
licence,牌照,license
pasture,牧场
woodland,林地
comparison,比较
software,软件
microscope,显微
butterfly,蝴蝶
species,物种
contract,合同
contact,接触
definition,定义
peers,同龄人
professionals,专业人士
vision,视觉
security,安
community,区
validity,有效性
observer,观察者
accident,事故
testimony,证词
consequence,后果
cellulose,纤维素
fabric,织物
inventor,发明家
chandelier,吊灯
technician,技术员
initials,缩写
administration,管理
tent,帐篷
waterfall,瀑布
bladders,膀胱
surface,表面
antenna,天线
layout,布局
request,请求
refreshments,点心，小吃
innovation,创新
term,术语，学期
toads,蟾蜍
womb,子宫
flesh,肉
pond,池塘
habitat,栖息地
dweller,居民
farmland,农田
leaflet,传单
fuel,燃料
predator,捕食者
maximum,最大
calculation,计算
indication,指示
sperm,精子
variables,变量
dishwasher,洗碗机
jungle,丛林
observation,观察
insect,昆虫
prospect,展望
permission,许可
grammar,语法
interruption,中断
poverty,贫困
realism,现实主义
frustration,挫
friendship,友谊
concentration,浓度
textile,纺织
joke,笑话
orientation,方向
umbrella,伞
landscape,风景
ash,灰
concrete,混凝土
exterior,外部
fountain,喷泉
engineering,工程
documentation,文档
tutorial,程
journalism,新闻
theme,主题
Juniors,大三
teenagers,青少年
spa,水疗
hairdresser,理发师
ingredients,成分
core,核心
massage,按摩
ancestor,祖先
ratio,比率
cord,线
bark,树皮
temperature,温度
concern,关心
entertainment,娱乐
passion,激情
geographers,地理学家
parachute,落
valve,阀门
oxygen,氧气
discussion,讨论
meetings,会议
admission,入场，承认
bookshop,书店
chimpanzees,黑猩
behavior,行为
dominance,优势,behaviour
nutshell,果壳
binoculars,双筒望远镜
Eskimo,基摩人
steel,钢
athlete,运动员
vibration,振动
bub,灯泡
mud,泥浆
waitress,女服务员
proof,证明
reservoir,水库
participation,参与
partner,合作伙伴
proofreading,校对
librarian,馆员
ditch,沟
protection,保护
peas,豌豆
fertilizer,肥料,fertiliser
porcelain,瓷器
cattle,牛
crops,作物
production,生产
plough,犁
function,能
windmills,风车
labor,劳,labour
duration,持续
gym,健身房
restroom,所
judo,柔道
contribution,贡献
fiancee,婚妻
acknowledgement,确认
discussion,讨论
representative,代表
piano,钢琴
bookshelf,书
reconstruction,重建
lg,标志
failure,败
volunteers,志愿者
voicemail,语音信箱
stripe,条纹
warnings,警告
Mars,火星
chess,国际象棋
balcony,阳台
squirrel,松鼠
invasion,入侵
restriction,限制
competition,竞
toleration,忍
polytechnic,理工的
hectares,公
community,社区
kangaroo,袋鼠
laundry,洗衣
rubber,橡胶
champion,冠军
battle,战斗
textbook,教材
grams,克
preservation,保存
disorders,紊乱
cosmetics,化品
message,消息
refrigerator,冰箱
demonstration,示范
hallway,走
mite,螨虫
hive,蜂巢
virus,病毒
fund,基金
personnel,人员
reputation,声誉
nerve,神经
studio,工作室
deposit,存款押金
motivation,动机
pot,锅
jewelry,珠宝
teenagers,青少年
diet,饮食
limitation,限制
minority,少数族
relationship,关系
sightseeing,观光
composers,作曲家
cabin,小屋
calendar,日历
teapot,茶壶
gardening,园艺
gloves,手套
necklace,项链
niece,侄女
footwear,鞋子
campaign,竞选
fault,故障
centralization,集中
sug,投币机的代用币
worms,虫子
snails,蜗牛
habitat,息地
indicator,指示器
speech,演讲
fishery,渔业
grape,葡萄
density,密度
exposure,曝光
insulation,绝缘
trays,托盘
friction,摩擦
stuff,东西
apron,围裙
sunglasses,太阳镜
suncream,防晒霜
celebrations,祝
pyramid,金字塔
dolphin,海
payment,付款
soldiers,士兵
shipping,航运
commodity,商品
basin,盆地
whales,鲸
nationality,国籍
absence,缺席
factors,因素
genders,性别
outcomes,结果
workforce,劳动力
cupboard,橱柜
generalisation,概括，总结性
documents,文件
vegetation,植被
exhibition,展览
voting,投票
dialogue,对话
regulator,调节器
hammer,锤子
incubator,孵化器
quantity,量
manpower,人力
rivals,竞对手
extinction,灭绝
ecosystem,生态系统
radio,无线电
jam,果酱
candle,蜡烛
shampoo,洗发水
obesity,肥
congestion,塞
categories,类别
twilight,黄昏，暮光
farmhouse,农舍
passport,护照
windsurfing,滑浪风帆
qualification,资格
van,厢式货车
responsibility,责任
authority,权威
competitors,竞争对手
determination,决定
labour,劳动
camel,骆驼
abe,标签
sprain,扭伤
aspirin,阿司匹林
critic,评论家
biography,传记
lighting,照
stage-set,舞台布景
storage,存储
regulation,调节
graffiti,涂鸦
sticks,棒
bins,垃圾箱
wedding,婚
sauna,桑拿
documentary,纪录片
landscape,乡村风景
helmet,头盔
bronze,青铜
facilities,设施
calorie,热量
wallet,钱包
dinosaur,恐龙
extinct,灭绝
fossils,化石
moa,恐鸟
attitude,度
wreckage,残骸
investment,投资
roof,屋顶
tortoise,龟
certificate,证书
Cantonese,粤
interpreter,口译者
purchase,购买
forestry,林业
literature,文学
irrigation,灌
degradation,降解
nutrient,营养
erosion,侵蚀
humidity,度
fishery,渔业
contaminants,污染物
innocence,清白
freedom,自由
supervision,监督
draft,手稿
content,内容
dictation,听写
subtitles,字幕
amber,琥珀
resin,树脂
fungi,真菌
sunlight,阳光
bridge,桥
concrete,混凝土、确凿
