word,chinese,alias
emotion and mood,感情和情绪
end of term,学期末
endangered species,濒危物种
energy industry,能源业
engineers,工程师
engineering room,工程室
engrave,雕刻东西
enrollment fee,报名费
entrance fee,游览门票
environment agency,环境机构
environmental damage,环境破坏
environmental issues,环境问题
environmental science,环境科学
environmental studies,环境研究
environmentally-friendly,环保的
Evening News,《晚间新闻》（报纸名称）
evening appointment,晚间约会
exercise one's muscles,锻炼肌肉
exhibition of instruments,乐器展
experimental for construction,实验设施
experimental facilities,建筑实验 摘自句子：It is experimental for construction.
expected duration,预计持续时间
express train,特快列车
express way,高速公路
extension number,分机号
extensive writing,大量的写作
exchange drafts,交换草稿
extra charge,小费
extra workload,额外工作量
ethical film,伦理片
eye doctor,眼科医生
eye contacts,目光交流
essay plan,提纲；论文计划
extinct species,灭绝物种
face-to-face interview,面对面采访
failure rate,不及格率
①摘自句子： It is experimental for construction.,family abuse
family medical history,家族病史
familiar with,熟悉，通晓
家庭暴力,family relationship
family ticket,家庭套票
family name,姓
家庭关系,fancy dress party
fancy dress,化妆晚会时穿的晚会服装；奇装异服
fancy ball,化装舞会
化装舞会,farming products
falcons,告别会
farewell party,农产品
fear of unemployment,担心失业
feel one's pulse,测脉搏
female corpse study,女尸的研究
field method,土地作业方式
field system,土地系统
field trip,实习
field work,实习
film festival,电影节
film studio,电影工作室
financial advice,理财建议
financial affairs,财务问题
financial budget,财政预算
financial department,金融系
financial executive,财务主管
financial goals,经济目标
financial market,金融市场
financial organization,金融团体
financial policy,金融政策
financial problems,财务问题；经济问题
financial shortage,缺钱
financial source,经济来源
fine arts,美术
fine texture,质地细腻
fire alarm,火警
fire blanket,灭火毯
fire drill,火警演习
fire management,火灾防范
first floor,二楼（英式）；一楼(美式)
first name,名
first-aid kit,急救箱
first-year student,大一学生（英）
fish cakes,鱼饼
fish tank,鱼缸
fishing boat,渔船
fishjng industry,渔业
fitness centre,健身中心
fitness club,健身会所，健身俱乐部
fitness level,身体状况
fitness training,健身训练
fixed expenses,固定花费
flexible working time,弹性工作时间
flight number,航班号
flowers' taste,花朵的味道（注意所有格的写法)
flying craft,飞行器
flying speed,飞行速度
food processing,食品加工
food and oil,食物和油
food chain,食物链
focus on,集中于
football club,足球俱乐部
football match,足球比赛
for sale,出售
forestry industry,林业
formal clothes,正式服装
four nights,四个晚上
fortnight,十四天
fourth-year student,大四学生（英）
