word,chinese,alias
on campus,在学校
on foot,步行
on sale,(英)热卖；（美）打折
on small scale,小范围地
one-way ticket,单程票
one-way,单程
online shopping,电子购物，网上购物
open admission,免试入学制
open shelves,开架书库
open-book exam,开卷考试
optic examination,眼部检查
optional course,选修课
optional expenses,选择性花销
oral defence,回答问题部分；答辩
orange juice,橙汁
ordinary farmers,普通农民
organic farming,有机农业
organic fiber,有机纤维
organic food,有机食物
organic material,有机材料
Oriental studies,东方研究
original reason,最初理由
out circulation,已借走
out of temper,生气
out on loan,借出的（书、CD等）
outside activity,户外活动
overall aim of the health club,健康俱乐部的总目标
overall trend,总体趋势
overdue and pay a fine,过期并交罚款
overhead projector,投影仪,OHP
overhead view,俯视图
overseas student,国际学生，留学生
hitchhike,搭便车旅行
packages,包裹
package tour,全包游
packing list,(旅行时的)打包单
Pacific Ocean,太平洋
paddling pool,嬉水池
pages,页
pal group relationship,伙伴关系
palaces,宫殿
palm tree,棕榈树
paper jam,卷纸现象
parent's meeting's aim,家长会的目的
parental teaching,父母的教育
part-time job,兼职工作
part-time,兼职的；业余时间的
party wears,晚宴装
passport photos,护照照片
pay for loss,补偿损失
payment method,付款方式
per day,每天
per month,每月
per person,每个人
per week,每周
per year,每年
permit required,查许可证
personal alarm,个人警报
personal statement,个人陈述（简称PS)
personal trainer,私人教练（缩写PT)
PHD,博士（Doctor of Philosophy的缩写)
philosophers,哲学家
phone bill,电话费，电话账单
photocopies of notes,复印笔记
photocopies of articles,复印文章
photocopy of article,复印文章
photocopy office,复印室
physical activities,体育活动
physical education,体育课,PE
physical surroundings,周边环境
physical therapy,理疗
pie chart,饼图
pine tree,松树
pink slip,解雇通知书
placement test,分班考试
planet science,行星科学
Planet Society,行星协会（一个组织的名称)
planning meeting,筹划会
planting garden,种植园
plastic bags,塑料袋
plastic collection,回收塑料
plus,加
pocket money,零用钱
point of view,观点
polish cars,汽车抛光
poor area,不发达的地区
pop test,抽考
population explosion,人口爆炸
population growth,人口增长
population of crocodiles,鳄鱼的数量
positive effect,积极影响
possible causes of stress,可能的压力来源
postal survey,邮寄调查
power company,供电公司
practical material,实用材料
practical skills,实用技能
precautions,措施
precious stone,宝石
presentation skills,陈述技巧
President's suite,总统套房
previous data,原来的数据
previous insurance company,原来的保险公司
previous result,原来的结果
previous studies,前人的研究
price list,价目单
principal,(美)高中以下学校校长
printed card,打印出的卡片
printed catalogue,打印出的目录
private bathroom,私人卫生间
private property,私人财产
private school,私立学校
private trip,私人旅行
prize giving,分配奖品
professional learning,专业学习
project work,项目
project background,项目背景
project outline,项目大纲
profits,利润
psychological patients,有心理疾病的人
psychological course,心理课
public transport,公交
public awareness,公众意识
public examination,公共考试
public facilities,公共设施
public health,公共健康
public interest,公共利益
public school,公立学校
public service,大众服务
public skills,大众技能
quality of teaching,教学质量
quality of education,教育质量
quality of personnel,职员的素质
quarry tiles,瓦片的一种
property insurance,财产险
question handling,问题处理
Queen's suite,皇后套房
queen-sized bed,1.5m×2.0m的床
Queen's Park,女王公园
RA (research assistant),研究助理
railway rail,铁轨
railway station,火车站
railway tracks,铁轨
railway worker,铁路工人
random selection,随机选取
