word,chinese,alias
abbreviation,缩写
access,接近
accessible,易接近的
accident,事故
affair,事情
announcement,公告
assume,假设
accommodation,住宿
recommendation,推荐
annex,配楼（附属建筑)
according,相符的
breeding,繁殖
surrounding,周围
cooking,做饭
account,账户
accountancy,会计学
accounting,会计
addition,附加
additional,附加的
address,地址
dress,连衣裙
dressing,穿衣；沙拉
assessment,评估
admission,入场费；承认
commission,佣金；委任
depression,沮丧；萧条
affect,影响；装作
effect,结果；作用
effective,有效的
effectively,有效地
appeal,n.呼吁 vi.恳求 vt.对……上诉
annual,一年的
arrival,到达
applicant,申请人
application,申请，应用
applied,应用的
appliance,器具；装置
approach,n.方法，接近 vt.接近，近乎 vi.接近，靠近
appointment,预约；任命
approval,同意
approximate,近似的
assistance,援助
assistant,助手
associate,伙伴
association,协会
attachment,附件
attack,袭击
attempt,n.&v.努力
attitude,态度
attend,出席，参加
attendance,到场；出席
attention,注意
attentive,注意的
business,商业；交易
balloon,气球
cartoon,卡通片，动画片
spoon,匙，汤匙
billion,十亿
ballroom,舞会
bathroom,卫生间
playroom,娱乐室
roommate,室友
barren,不生育的，贫瘠的
barrier,障碍物
better,更好的
buffet,自助餐
beginner,初始者
beginning,开始，初级
planner,计划者
planning,制订计划
blood,血
bloom,花；开花
boot,靴子
book,书
booking,预订
booklet,小册子
cannibal,食肉者
connect,连接
cassette,录音带
cattle,牲畜
classical,古典的
classification,分类；类别
classmate,同班同学
comment,注释；评论
commercial,电视广告
communication,交流
community,社区
common,普通的
cotton,棉花
coffee,咖啡
cottage,小屋
cramming,死记硬背
running,n.奔跑；运转 adj.奔跑的
wedding,婚礼
banned,禁止
current,n.流动；趋势 adj.当前的
currency,货币；流通
cooperate,合作，协作
crossroads,交叉路；转折点
dessert,甜点心
dissertation,论文
different,不同的
difference,差别
dinner,正餐
dizzy,头晕目眩的
little,小的
pizza,比萨饼
discuss,讨论
discussion,讨论
speech,演讲，演说
suggestion,建议
door,门
dollar,美元
floor,地板
poor,贫穷的
efficient,效率高的
essential,必要的
exaggerate,夸张
essay,散文；随笔
embassy,大使馆
issue,问题
curriculum,课程，课程表
express,快车；快递
congress,会议；国会
pressed,紧的；困难的
pressure,压；压力
fee,费
feedback,反馈；返回
ferry,摆渡；渡轮
fossil,化石
food,食物
foot,脚
football,足球
footprint,脚印
goods,商品
gallon,加仑
grammar,语法
handbook,手册
textbook,教科书
notebook,笔记本
newsletters,时事通讯
hippo,河马
hoover,真空吸尘器
horror,恐怖；震惊
hall,大厅；门厅
immune,免疫的
irrigation,灌溉
irritation,激怒
useless,无用的
impossible,不可能的
incorrect,不正确的
innovation,革新；改革
interviewee,被采访人
lessen,vi.变小 vt.使变小
degree,度
likelihood,可能
firewood,柴火
matter,问题；事件
mammal,哺乳动物
mass,众多；大众
massage,按摩
midday,正午
million,百万
narrator,解说员
lookout,守望；监视
occasion,场合；时机
occupant,占有人；居住者
occupation,工作，职业
occupational,职业的
offer,vt.给予；奉献 vi.提议；出现
office,办公室
officer,军官；官员
passage,文章；一节，一段
passport,护照；通行证
password,口令
pattern,花样，图案
paddle,划桨
penny,便士
personnel,人事；职员
pottery,陶器
process,过程
processing,加工；处理
profession,职业
professor,教授
questionnaire,问卷
possibility,可能性
opportunities,机会，机遇
robber,抢劫者
otter,水獭
rubbish,垃圾
Russia,俄罗斯
school,学校
kangaroo,袋鼠
Scottish,n.苏格兰人；苏格兰语 adj.苏格兰人的；苏格兰语的
screen,屏幕
seafood,海鲜
settlement,解决；结账
shuttle,梭子
shopping,购物
swimming,游泳
skiing,滑雪
setting,安装；设置
steel,钢
steering,掌舵；操纵
stress,紧张；压力
stressful,紧张的
stiff,硬的
staff,职员
stuff,材料，原料
cliff,悬崖，峭壁
success,成功
successful,成功的
session,开会；会议
concession,让步
summary,概括的
summer,夏天
summit,尖峰；顶峰
supplementary,增补的
supply,供给；供应
support,支撑；支柱
supportive,赞助的
tennis,网球
tunnel,隧道，地道
toothache,牙痛
traffic,交通
terraced,有露台的
terrestrial,疆土的
vaccine,疫苗
vacuum,真空
waitress,女服务员
willow,柳树
weed,野草
wood,木材
woods,森林
ZOO,动物园
b,b
