word,chinese,alias
notice board,告示板
truck licence,许可证,truck license
payment basis,付款基础
life span,寿命
consistent growth,一直增长
picking fruit,采水果
health inquiry,健康调查
baseball coach,棒球教练
medical insurance,医疗保险
specialist staff,专业人员
full-time officers,专职人员
selective course,选修课
teaching quality,教学质量
fluid mechanics,流体力学
practical work,实际工作
energy efficient,高效节能
rural area,农村区域
economic wealth,经济财富
pre-existing health conditions,预存的健康状况
relevant working experience,相关工作技能
relevant skills,相关技能
source of information,信息来源
school gym,学校体育馆
local school stadium,地方学校体育馆
outdoor activities,户外活动
college ground,大学的地面
local stadium,地方体育场
community centre,社区中心
overseas team,海外团队
application fee,申请费
wood carving,木雕
personal tutor system,个人导师制
disciplinary measure,纪律措施
employees' motivation,员工激励
return-work interview,返回工作面试
flexible work pattern,弹性工作模式
automatic gear type,自动档类型
training courses,培训课程
different weather conditions,不同气候条件
registration fee,登记费
driving diary,驾驶日记
wild flowed,野生花卉
nature reserve,自然保护区
old ruins,废墟
tour guide,导游
formal language,正式语言
fruit growing,种水果
biological activity,生物活动
local river,当地河流
specialised microscope,专用显微镜
specialised software,专业软件
butterfly species,蝴蝶种类
tools for garden,园林工具
training programme,培训计划
defects in products,产品缺陷
low salary,低工资
bad surroundings,环境差
falling sales,销售下降
upset employees,不开心的员工
engine types,动型
family ticket type,家庭套票
road sign,道路标志
monthly magazines,月刊
quiz test,测验
library books,图书馆的书
previous lectures,之前的讲座
permanent records,永久记录
recycled pens,可回收笔
football fan,足球迷
proposed report,建议报告
health department,卫生署
food allergies,食物过敏
food intake,食物摄量
eating pattern,饮食模式
random sample,随机抽取
recruitment department,招聘部
midnight flights,午夜航班
heavy items,重的物品
communication skills,沟通技巧
interview time,面试时间
witness report,证人报告
closure inquiry,封闭查询
easier access,更容易访问，更好入口
semi-synthesised materials,半合成材料
staff parking,员工车位
uneven path,不平的路径
pony riding,骑马
salt concentration,盐浓度
water quality,水质
water temperature,水温
chemical level,化学水平
sea floor,海底
background music,背景音乐
drinks and flowers,饮料和花卉
engineer company,工程师公司
cutting cost,减少成本
conservation scheme,保护方案
damp soil,湿土
free parking,免费停车
natural gas,天然气
fuel consumption,燃料消耗
gas tank,煤气罐
oil filter,滤油器
trunk load,行李箱负荷
marine plants,海洋植物
growth spurts,爆发性增长
daily routine,日常业务
career prospect,职业前景
simplified language,简化语言
oral expression,口头表达
role language,角色语言
technical errors,技术错误
missed appointment,错过约会
swimming coach,游泳教练
problem solving,解决问题
physical condition,物理条件
excellent vision,卓越的视觉
video clip,视频剪辑
window shade,百叶窗
electronic cars,电子汽车
glass mirrors,玻璃镜子
global market,全球市场
lowest carbon emission,最低碳排放量
well-equipped suite,设备齐全的套房
internet access,互联网接入
room upgrade,房间升级
cookery book,烹饪书
core food discipline,核心食品学
train station,火车站
gold mine,金矿
off-peak,非高峰的
heart rate monitor,心率监测
archaeological sites,考古遗址
Tomb Raider,古墓丽影
frozen food,冷冻食品
prime motivation,主要动机
cooking process,烹饪过程
healthy choices,健康选择
detached house,独立式住宅
construction material,建筑材料
ski resort,滑雪胜地
compressed air,压缩空气
cone head,锥头
bird's nest,鸟巢
plastic bottle,塑料瓶
wood cover,木制盖子
gas station,加油站
measuring equipment,测量设备
video camera,摄像机
hunting skill,狩猎技能
medical stitches,医学缝合
skating boards,溜冰板
delivery type,交货类型
postal by mail,邮寄邮件
reading frequency,阅读频率
double-layer glass,双层玻璃
